"EventID","MachineName","Data","Index","Category","CategoryNumber","EntryType","Message","Source","ReplacementStrings","InstanceId","TimeGenerated","TimeWritten","UserName","Site","Container"
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7237","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/29/2025 12:19:05 AM","8/29/2025 12:19:05 AM","NT AUTHORITY\SYSTEM",,
"7040","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7236","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from auto start to demand start.","Service Control Manager","System.String[]","1073748864","8/28/2025 11:44:10 PM","8/28/2025 11:44:10 PM","NT AUTHORITY\SYSTEM",,
"7040","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7235","(0)","0","Information","The start type of the Background Intelligent Transfer Service service was changed from demand start to auto start.","Service Control Manager","System.String[]","1073748864","8/28/2025 11:41:53 PM","8/28/2025 11:41:53 PM","NT AUTHORITY\SYSTEM",,
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7234","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/28/2025 10:20:06 PM","8/28/2025 10:20:06 PM","NT AUTHORITY\SYSTEM",,
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7233","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/28/2025 8:21:05 PM","8/28/2025 8:21:05 PM","NT AUTHORITY\SYSTEM",,
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7232","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/28/2025 6:22:06 PM","8/28/2025 6:22:06 PM","NT AUTHORITY\SYSTEM",,
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7231","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/28/2025 4:23:05 PM","8/28/2025 4:23:05 PM","NT AUTHORITY\SYSTEM",,
"1500","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7230","(0)","0","Information","The Group Policy settings for the computer were processed successfully. There were no changes detected since the last successful processing of Group Policy.","Microsoft-Windows-GroupPolicy","System.String[]","1500","8/28/2025 2:24:05 PM","8/28/2025 2:24:05 PM","NT AUTHORITY\SYSTEM",,
"16","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7229","(0)","0","Information","The description for Event ID '16' in Source 'Microsoft-Windows-Kernel-General' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'103', '\??\C:\Users\pos\AppData\Local\Packages\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\Settings\settings.dat', '2', '1'","Microsoft-Windows-Kernel-General","System.String[]","16","8/28/2025 1:41:08 PM","8/28/2025 1:41:08 PM","NT AUTHORITY\SYSTEM",,
"10016","26c21ae3726d.tenmaxdooh.local","System.Byte[]","7228","(0)","0","Warning","The description for Event ID '10016' in Source 'DCOM' cannot be found.  The local computer may not have the necessary registry information or message DLL files to display the message, or you may not have permission to access them.  The following information is part of the event:'machine-default', 'Local', 'Activation', '{F87B28F1-DA9A-4F35-8EC0-800EFCF26B83}', '{0868DC9B-D9A2-4F64-9362-133CEA201299}', 'NT AUTHORITY', 'NETWORK SERVICE', 'S-1-5-20', 'LocalHost (Using LRPC)', 'Unavailable', 'Unavailable'","DCOM","System.String[]","10016","8/28/2025 1:40:30 PM","8/28/2025 1:40:30 PM","NT AUTHORITY\NETWORK SERVICE",,
